"id","city_id:id","name","code"
l10n_bo_municipality_010101,l10n_bo_province_0101,Sucre,010101
l10n_bo_municipality_010102,l10n_bo_province_0101,Yotala,010102
l10n_bo_municipality_010103,l10n_bo_province_0101,Poroma,010103
l10n_bo_municipality_010201,l10n_bo_province_0102,Villa Azurduy,010201
l10n_bo_municipality_010202,l10n_bo_province_0102,Tarvita,010202
l10n_bo_municipality_010301,l10n_bo_province_0103,Villa Zudañez,010301
l10n_bo_municipality_010702,l10n_bo_province_0107,San Lucas,010702
l10n_bo_municipality_010404,l10n_bo_province_0104,Villa Alcalá,010404
l10n_bo_municipality_010302,l10n_bo_province_0103,Presto,010302
l10n_bo_municipality_010303,l10n_bo_province_0103,Villa Mojocoya,010303
l10n_bo_municipality_010304,l10n_bo_province_0103,Icla,010304
l10n_bo_municipality_010401,l10n_bo_province_0104,Padilla,010401
l10n_bo_municipality_010402,l10n_bo_province_0104,Tomina,010402
l10n_bo_municipality_010403,l10n_bo_province_0104,Sopachuy,010403
l10n_bo_municipality_010405,l10n_bo_province_0104,El Villar,010405
l10n_bo_municipality_010501,l10n_bo_province_0105,Monteagudo,010501
l10n_bo_municipality_010502,l10n_bo_province_0105,San Pablo de Huacareta,010502
l10n_bo_municipality_010601,l10n_bo_province_0106,Tarabuco,010601
l10n_bo_municipality_010602,l10n_bo_province_0106,Yamparáez,010602
l10n_bo_municipality_010701,l10n_bo_province_0107,Camargo,010701
l10n_bo_municipality_020402,l10n_bo_province_0204,Mocomoco,020402
l10n_bo_municipality_010703,l10n_bo_province_0107,Incahuasi,010703
l10n_bo_municipality_010704,l10n_bo_province_0107,Villa Charcas,010704
l10n_bo_municipality_010801,l10n_bo_province_0108,Villa Serrano,010801
l10n_bo_municipality_010901,l10n_bo_province_0109,Camataqui (Villa Abecia),010901
l10n_bo_municipality_010902,l10n_bo_province_0109,Culpina,010902
l10n_bo_municipality_020304,l10n_bo_province_0203,Comanche,020304
l10n_bo_municipality_010903,l10n_bo_province_0109,Las Carreras,010903
l10n_bo_municipality_011001,l10n_bo_province_0110,Villa Vaca Guzmán (Muyupampa),011001
l10n_bo_municipality_011002,l10n_bo_province_0110,Huacaya,011002
l10n_bo_municipality_011003,l10n_bo_province_0110,Macharetí,011003
l10n_bo_municipality_020101,l10n_bo_province_0201,La Paz,020101
l10n_bo_municipality_020102,l10n_bo_province_0201,Palca,020102
l10n_bo_municipality_020103,l10n_bo_province_0201,Mecapaca,020103
l10n_bo_municipality_020104,l10n_bo_province_0201,Achocalla,020104
l10n_bo_municipality_020105,l10n_bo_province_0201,El Alto,020105
l10n_bo_municipality_020201,l10n_bo_province_0202,Achacachi,020201
l10n_bo_municipality_020202,l10n_bo_province_0202,Ancoraimes,020202
l10n_bo_municipality_020203,l10n_bo_province_0202,Chua Cocani,020203
l10n_bo_municipality_020204,l10n_bo_province_0202,Huarina,020204
l10n_bo_municipality_020205,l10n_bo_province_0202,Santiago de Huata,020205
l10n_bo_municipality_020206,l10n_bo_province_0202,Huatajata,020206
l10n_bo_municipality_020301,l10n_bo_province_0203,Coro Coro,020301
